2 6 276 670 1134 STOP 438 2 4 10 1208 10 2 50 STOP 14 2 10 STOP STOP
8 8 STOP 2 2 38 5008 10 2 STOP 4 STOP STOP STOP STOP 78 2 2 5756 4
22 STOP 2 STOP STOP 266 46 2 STOP 260 STOP 514 STOP 10 1050 2 10 4 12 STOP
2 STOP 2 10 STOP STOP STOP 20 252 STOP 6 2 2 8498 6 STOP STOP 2 4 7320
10 14 6 STOP STOP STOP 4 4 22 2 2 2 76 372 2 2 534 28 STOP 146
STOP STOP 2 STOP 2 4 5478 2 28 2834 158 8 STOP 2 STOP 4 2 6 4440 STOP
88 62 180 4 4 STOP 2 STOP STOP 4 24 STOP 2 2 STOP 6 678 14 344 4
4 8 STOP 2 2 506 STOP 4400 STOP 2 1200 STOP 176 STOP 4 1214 4 1038 2 58
30 26 2 20 STOP 2 60 2 12 8914 STOP 14 18 2 12 STOP 48 744 72 2
62 4 STOP STOP 2 14 STOP 7238 546 172 10 52 STOP 2 6 2 2 2 28 STOP
6 64 STOP STOP STOP STOP 2 28 10 10 1132 2 STOP 2 2 6 218 2 1504 4
2 STOP 2 2 2 28 2 54 8 2574 STOP 4 STOP 10 STOP 2 STOP 38 2 12
2700 2 146 STOP STOP STOP 16 18 2 STOP 4 42 STOP STOP STOP 962 194 5084 7788 2
4 STOP STOP 4 2 4 12 4 STOP STOP 244 176 2 46 2 4 STOP STOP 4 STOP
4 STOP 1314 STOP 56 18 772 STOP 318 2 4 2 8 2 1122 3850 STOP 16 32 8
STOP STOP 272 STOP 14 STOP 4 STOP 2 652 8 STOP 4 STOP STOP 70 1460 8 STOP 36
STOP STOP STOP 14 STOP STOP STOP 6838 706 14 510 12 2 4 2 8 124 980 STOP STOP
46 6 2 12 10 2 2 118 2 1348 2 968 910 STOP 8 STOP STOP 28 4 STOP
298 556 STOP 6 STOP 108 8 2 586 14 2 918 2 20 STOP 14 12 6 6 2
258 2 2 STOP 10 12 6 14 2 6564 STOP STOP 2 6 STOP 22 48 4100 22 2
STOP STOP STOP STOP STOP 8 2 2 714 2 STOP 2 STOP STOP 2 STOP 2 4 4 14
STOP 4 STOP 2 14 8 8 2 32 2 STOP STOP 2 9546 4 4 STOP 146 STOP STOP
2 2 2 498 162 2 STOP 2 66 16 2 2 5334 STOP 4 8 6 2996 STOP 188
8 582 4 2 6 STOP STOP 284 2 2 STOP 2 66 STOP 2 78 STOP 978 STOP 12
2 40 2 2 STOP 176 118 STOP 16 STOP STOP STOP STOP 762 10 STOP 2 358 2 6
922 2 12 10 9678 10 8 STOP 2 20 102 STOP 2 6 128 4 6 STOP 1210 2
28 STOP 68 6 STOP 2 26 STOP 2 60 16 2072 4 12 2 936 2 62 8954 866
2 168 54 2 2 STOP 68 2 4 STOP 2088 4602 STOP 24 STOP 2 6 STOP 646 12
4 STOP 200 STOP 4 4 2 440 STOP 2 2 168 STOP 2 STOP 12 70 2 6 12
10 336 2 34 26 2016 STOP 2 2 2 40 6 STOP 10 STOP 3004 326 STOP 2 STOP
4 STOP 74 2 478 2 4 10 528 STOP 2 STOP STOP 2 STOP 40 STOP 4466 2 4
3290 72 STOP 12 STOP STOP 2 4 2 2 4 260 4 STOP 22 2 2 2596 14 STOP
STOP 2 STOP 2 8 24 64 2 250 56 STOP 2 STOP 22 6 66 32 856 10 34
6 STOP 9536 4 4 2 154 STOP 2 124 STOP 2 STOP STOP STOP 22 2534 2 STOP 2
14 STOP STOP 18 STOP 18 20 6 STOP STOP 362 4 50 8962 STOP 34 6 2 7760 STOP
12 STOP 2 2 STOP 184 4 4 STOP STOP 54 54 4 2 24 2 90 4 STOP 5014
2 2 276 2 2 STOP 4 STOP 118 16 8 10 4 6 6 10 2 20 2 2
1346 6 4 2 2 STOP 134 6 406 5464 4 24 STOP 8 106 334 2 STOP STOP 4
8 STOP 2 2 128 4 104 300 8 2 STOP STOP 42 458 STOP 440 STOP STOP 276 STOP
STOP 2 2 STOP STOP 2 882 5430 6 2 310 STOP 2 8 2 STOP STOP STOP 8 20
STOP 4 STOP STOP 36 2 4 32 2 2 8 STOP 174 16 68 STOP STOP 2 4 110
6 1136 218 14 12 STOP 24 46 STOP 34 STOP 12 6 4 STOP 90 STOP 10 62 4800
STOP STOP 72 4 STOP STOP STOP STOP 2 STOP STOP STOP 4 190 STOP 1834 4 2 2 STOP
2 2 4 STOP 2 5744 STOP 64 2 7144 604 2 STOP 4 122 2 16 6 STOP 634
252 6 10 STOP STOP 390 STOP 60 6 180 2112 STOP 2 1368 2 14 2 20 STOP 1822
16 STOP 2 2 2 2 2 2 2 2 12 590 2 2 STOP 24 270 STOP 4 2
STOP 4 STOP 6 2 2 4 4 4 STOP STOP 2 112 4302 8 1088 STOP 2 132 STOP
STOP STOP STOP STOP 10 16 STOP 2 2 2 720 2 STOP 2 8 30 STOP STOP STOP STOP
6 STOP 22 14 24 34 2226 952 10 STOP 2 2 452 8 4 3674 4422 STOP 2 2
628 656 STOP 4 STOP 2 4 1156 14 2 2 2 STOP STOP STOP 2 STOP STOP STOP 2
