12 34 STOP 20 14 4 4 272 33310 4 4 2 38 6 12 4 2 4 STOP STOP
8 2 2 6 STOP STOP STOP 66 14 2 STOP 2 4 4 96 STOP 2 18 2 2
2000 4 10 5662 2 4 2 4 5000 1518 18 9604 2 76 2 STOP STOP 4 STOP STOP
3790 STOP 10 2040 49524 16 STOP STOP 2 2 STOP STOP 120 STOP 40 4 4 3844 4 2
170 4 10 2 STOP STOP 8 30 12 18 STOP 2 2 714 2 3140 STOP 146 12 4
2202 18 2 14 2 4 4 STOP 298 4 2 4 18 2 STOP 256 STOP STOP 2 20
STOP STOP 256 4 40 14 STOP 28 4 STOP 2124 4 STOP STOP STOP 2 154 84 10 48
514 14 264 STOP 12 4 3626 1980 26 320 3172 STOP STOP STOP 2 STOP STOP 386 2 48
2 2 4 2 294 4 724 STOP STOP 12 2 3774 2 332 984 STOP 2 2 2 STOP
2 STOP 2 2 6236 394 2 94 106 2 22 2 STOP 2 6 2 STOP 2 STOP STOP
636 STOP 2 106 2 124 STOP 2 3860 STOP 6 2 44 20 STOP STOP 4 1010 STOP 2
STOP STOP 1414 2 31724 18 12 2 112 2 2 4 6 44 STOP 98 12 76 4 STOP
34 2 46 STOP 2 STOP STOP 4 STOP STOP 2 10 STOP 24852 STOP 156 6 1172 STOP 2
STOP 44 370 2 6 72 8 2 STOP STOP 24 6 2 34440 2 STOP 2 STOP 82 2
2 64 STOP 16 STOP 8 58 2 2 14 26 STOP 2 2 4 2 2 2 STOP 28
STOP 14 2 2 2 36 6 192 STOP 2 6 122 174 2 4 2 2 2 24 80
STOP STOP 2 2 STOP 10882 24 4 62 10 2 STOP 2 2 2 STOP 2 2 3162 32
2 2 2 2 STOP 20 2 354 STOP 2596 424 96 96 4 STOP 1030 2 38 2 4
2 STOP 6 8 STOP 2 2 14 92 2 10 2 24 696 STOP 2 STOP 12 2 2
STOP 2 1680 4 1354 762 22 4 100 2 2 4 16 STOP 100 60 18 2 12 STOP
8 6 2 2 12 920 24 1228 144 2 454 2 6 2 37686 2 21584 10 48 4
STOP 3248 24 390 2 2000 STOP STOP 136 52 2 STOP 1080 2582 24 186 2 2 5026 2
STOP 6 4 10 4 STOP STOP 12 2 STOP 2 STOP 94 18600 2 2 10 STOP 114 68
2 46 166 2 2 104 2 4 24 2 1372 8 850 2 2 14 15052 2 18 23846
STOP STOP 2 38 2 STOP STOP 1002 38 2 18 2 452 1030 2 250 STOP 2 2 STOP
STOP 2 2 8358 STOP 776 14610 STOP 8 24366 14 40 STOP STOP 2 544 6 2 112 10838
2 2 STOP STOP 192 48 STOP 12356 STOP 72 2 48 78394 12 546 2 8114 12 3854 STOP
82 902 640 STOP 16 STOP STOP 72 34 STOP 2 944 8 3686 2 4 106 2 262 2
15928 116 STOP 14 4 104 STOP 6 2 6 4 STOP 10 30 30284 STOP 2 16 102 2
2 4 STOP 60 2 34 18 6130 2 2 STOP 14 2 STOP STOP STOP 24 58870 STOP 4
10 4 2 STOP 2 2048 2 330 264 2 4 134 5762 10 STOP 4 6 136 STOP 290
2 2 STOP 8 STOP 74 2 2 18926 2 2 2 STOP 1196 4 2 416 10 STOP STOP
6 66 4 2 STOP STOP 16 82 2 2 14 STOP 28 STOP 30 2 STOP 206 2902 154
STOP 2 STOP 2 24 50 6 10 688 2 STOP 24 2 1500 4 184 STOP 2 STOP 2
2 368 62 STOP 2 15962 4 6 49530 6 STOP 10 32 STOP STOP 4 10 4 42460 22
24 12 364 4 16 556 16 1954 28 2 STOP 316 1422 12948 2 6 4 2 2 2
70006 110 2 28 2 1744 3926 8 988 40 16 52 6 STOP 2836 472 STOP 4 STOP 2
STOP 12 2 4472 2 2 2 2 6 460 2 STOP STOP 8 STOP 4 STOP STOP 2 STOP
362 2 12 10 6 STOP 2 2 2 4 10 10 4 STOP 2 STOP 14 6 14 63074
2 366 STOP STOP 4 2 2 STOP 2 310 4 14 226 STOP STOP 848 2 2 STOP 6
2 37240 2 8 STOP STOP 2 2 140 STOP STOP 290 24 2 20 STOP STOP 20 6 440
32 2 2 4 2 112 2 542 2 282 4 72842 88 2 STOP 22 32 7224 20 64
8 4 2 8 2 STOP 2 8 232 6 8744 2704 STOP 6 2 4 STOP 34 24 5962
16 STOP 334 562 2 4 86 892 2 STOP 318 2 106 2 22 12 8 STOP 2 1080
STOP 2 4 82 2 18 2 2 2 11984 2 STOP 72 162 2 2 2 STOP 30 2
2 2 2 STOP 4 12 894 2 STOP 690 2 STOP STOP 38 STOP 20888 12 2 2 STOP
2 2 8 2 2 138 STOP 8 18 12978 STOP 1332 2 4 738 36 3252 2 44 16
4526 6 662 2 2 STOP 2 3800 84 2 18196 STOP 70 2 56 STOP 432 STOP 10 STOP
2 2 STOP 6 4 220 2 STOP STOP 466 STOP STOP 60 4 28 2 12 3424 54 2
8 6 34 8 STOP 2 8 STOP 6 STOP 2 148 2 2 50 218 78978 2 18 STOP
