2 848 2 2 108 2694 28 STOP 6 5978 2 2 STOP 2 4 4 4 20 290 24
24 10 STOP 2 14 2 2 3060 4 STOP 2 10 2 38 34 2 2 2 2 STOP
4 2 STOP STOP 622 2 4 8 2 124 6 STOP 4 718 62 2 10 STOP 2 STOP
STOP 4 284 4 2 834 28 6 2 STOP 2312 4 6 16 2 2 STOP 70 38 40
2 STOP STOP 214 30 2 STOP STOP STOP 4 38 2 2478 STOP 2490 20 2 252 STOP STOP
344 STOP 4 STOP STOP STOP STOP STOP 4 78 2 4514 2 236 STOP STOP STOP 4 5254 12
8 16 4 2 2 2 16 STOP 240 2 2 STOP STOP 46 STOP 2 6796 20 6 STOP
76 4 30 1214 STOP 974 10 4 9752 46 2 2 STOP 956 56 2 2 STOP 2 2
2 6 4 STOP 2 STOP 2 2 4 2 STOP 32 10 2 2 STOP 2 STOP STOP 2
STOP STOP 22 12 2 174 STOP 12 10 2 STOP 12 8 STOP 4 16 2 2 4 STOP
4 100 32 2 2 694 4 STOP STOP STOP STOP STOP 32 2 2 18 2 14 1586 2
2 86 10 STOP 48 STOP 14 8 2 2 STOP STOP 794 4 8 16 44 2 STOP 260
188 12 8 8 STOP 12 38 STOP 30 2 46 STOP 8374 STOP 2 2 2 3070 8 2
866 4 32 STOP STOP 248 2 14 2 392 STOP 10 2 16 STOP 2846 12 28 2 2
38 STOP 46 182 2 3072 8274 6 278 140 STOP 2 STOP 416 120 STOP 6 STOP 6 STOP
STOP 14 6 4 926 STOP 822 4 2 3432 20 STOP 1572 38 16 2 10 STOP 8 2
72 STOP 2 4 2 4 STOP 6 138 538 10 4 2 2 2 2 22 34 32 6636
8 STOP 56 390 2 2 2 STOP 18 STOP 2 412 4 STOP 2 2 STOP 2108 142 12
2 STOP 92 STOP 26 258 STOP 6 6 8 6 8 2 878 3926 3698 20 2 2 2
3516 2 6 STOP 2 STOP STOP 2 2 2 2 STOP 2 STOP 2 8 STOP 2 2118 2
4 STOP 28 STOP STOP 692 STOP STOP 2 4 140 630 28 6 2 2 STOP 2 214 2
STOP 2 6 STOP 42 STOP 4 4 5796 6 2 84 2 9876 2 2442 2 2 STOP 16
2 STOP 28 STOP 4 2 114 1608 4 138 STOP 12 STOP 4 2 64 20 STOP 2 16
52 2 STOP 2 STOP STOP 18 STOP 1320 1424 2 2 2 4 2 18 28 4 2 STOP
STOP 1128 STOP 8 2 1234 STOP 4 STOP 190 1296 2 8 STOP 12 STOP 214 2 STOP 2
20 2 4 228 72 2 2 6 2 STOP 2 420 2 2 STOP 264 78 4 STOP 2
STOP 2 STOP 1048 66 2 16 20 10 7006 STOP STOP 2 STOP 4776 STOP 2 2 2 2
STOP 24 646 2 2 STOP 4 22 394 2 2 STOP STOP 4 2 4 4 2 STOP STOP
10 STOP STOP 2542 STOP STOP 102 STOP STOP 2 32 STOP 132 2 2 2 2 STOP 84 8446
STOP 8 320 2 STOP 2 2 2 STOP 2 2 2102 2 808 STOP 62 2 4 2 8
36 12 STOP 2 14 2 4 STOP STOP STOP 4 STOP 2 50 238 6 2 72 28 STOP
58 4 2 36 2 STOP STOP 8 8 STOP STOP 18 2 2 2 978 800 2 12 4
2 STOP 6 2 20 STOP 156 4 38 STOP 2 2 2 2 14 2 4 2 90 246
2 2 STOP 394 2 2 2 24 4 STOP STOP 4 316 STOP 66 42 4 226 22 28
STOP STOP STOP 2 2 6 96 48 34 2 44 STOP 14 8 4 2 2 16 STOP 2
276 2 8 STOP 322 2 2 STOP 4 6160 310 2 2 4 2 STOP 18 STOP 10 8
2 1170 592 2244 2 STOP 4 22 STOP 4 894 2 6 STOP 58 STOP STOP 6 2 2
2 2 2 2 980 14 STOP 2 2 46 88 STOP 4 4 STOP STOP STOP 4 STOP STOP
2 20 896 2 2 2 30 20 4 STOP STOP STOP 996 26 4 560 10 2 STOP STOP
2 2 94 2 338 2 STOP 2 STOP 10 152 10 STOP 2 8 14 STOP 2 STOP STOP
STOP 52 2 STOP 2 STOP 42 STOP 6 310 26 14 6 4 STOP 12 2336 STOP 132 2
2 2 2 5754 STOP 2 2 2 5618 STOP 12 STOP STOP 2 2 68 2 4 18 5024
2 2 STOP STOP 4 4 4 STOP 2 STOP STOP 4 STOP 346 166 2 90 2 STOP STOP
STOP 2 2026 468 2 4 4 2 4 2 32 STOP 4 2 8 6 44 12 2 STOP
STOP STOP 4 2 1484 2 18 STOP 2 4 STOP 2 2 58 2 2 44 STOP 2 STOP
STOP 46 16 2 4 2 4 164 4 6 48 14 10 STOP STOP STOP 232 170 26 56
STOP 4 STOP 194 2 4356 2 64 8 2 2 26 STOP 8088 16 6654 372 2 4 242
6 94 STOP 8 2 STOP STOP STOP 2 2 2 STOP 2 4 138 72 4 66 2 STOP
14 8 2 4 STOP STOP 2 8 2 STOP 4 180 STOP 1140 12 STOP 2392 14 STOP 18
8 2 2 2 10 4 8930 STOP 2 2 STOP 12 36 2 STOP 2 STOP STOP 2 2098
